ID,RT
1,8.362539
2,8.26618
3,9.7059
4,10.645727
5,15.320251
6,3.983769
7,18.602095
8,10.642459
9,9.591567
10,9.279665
11,6.5827637
12,7.907663
13,7.8996215
14,2.5852122
15,5.338302
16,1.8921561
17,3.7399457
18,1.7328272
19,1.8481374
20,6.264524
21,3.8591459
22,3.7065637
23,4.0029507
24,4.054558
25,2.9776235
26,5.7035384
27,4.9939313
28,6.102119
29,5.6488776
30,7.533268
31,14.029362
32,5.8986783
33,2.0857615
34,4.3285375
35,11.570305
36,10.2997265
37,16.52454
38,9.478061
39,9.580809
40,3.5928261
41,6.502847
42,6.308978
43,3.7508862
44,9.305553
45,5.1903353
46,4.433986
47,14.306536
48,11.438525
49,11.018338
50,7.677679
51,7.9005356
52,6.5706124
53,4.0799756
54,5.7174544
55,5.6130137
56,4.749584
57,4.3284597
58,3.711875
59,2.0010066
60,3.0741868
61,3.4171472
62,3.4848797
63,4.0310855
64,3.0163617
65,6.257491
66,17.027372
67,9.952837
68,15.521129
69,7.791395
70,9.824597
71,17.423006
72,9.386942
73,6.7981596
74,11.853505
75,11.84185
76,4.3916245
77,7.699566
78,8.203071
79,5.451917
80,5.7293696
81,6.893105
82,4.1199737
83,3.389773
84,10.899756
85,11.199437
86,11.290934
87,3.9330976
88,7.3713374
89,9.074616
90,8.3834915
91,8.943435
92,4.0109363
93,7.32413
94,13.118483
95,10.450038
96,11.063759
97,13.632916
98,5.0024476
99,10.719722
100,8.726668
101,7.086896
102,3.3330612
103,4.8555164
104,6.605689
105,3.6653292
106,5.4605045
107,11.735113
108,11.922124
109,11.094845
110,5.616225
111,9.752806
112,8.214239
113,9.555936
114,6.686812
115,5.7018847
116,5.666184
117,9.215998
118,5.970321
119,3.4580665
120,5.381326
121,3.532551
122,7.011362
123,6.596352
124,4.933346
125,2.8108053
126,1.5745258
127,9.3072
128,6.913387
129,5.1823983
130,8.07689
131,7.317068
132,6.615196
133,14.138872
134,8.559186
135,11.8155985
136,11.97557
137,11.795193
138,4.913108
139,4.2867846
140,4.1241837
141,4.023531
142,2.8294787
143,4.1913137
144,4.0992656
145,3.8820128
146,19.122566
147,9.239248
148,7.9087505
149,7.8613744
150,9.597389
151,9.898152
152,16.277126
153,5.584698
154,8.982214
155,8.784019
156,9.189649
157,8.584485
158,9.911666
159,9.013066
160,8.156607
161,2.8048286
162,3.347393
163,4.478018
164,10.646243
165,2.904233
166,3.603462
167,2.2393427
168,4.1811433
169,2.538415
170,3.0677915
171,9.172609
172,8.484487
173,13.247984
174,8.0304
175,3.1044893
176,11.99033
177,9.878567
178,11.178118
179,10.724036
180,12.085689
181,3.9223158
182,5.926773
183,8.470751
184,14.43108
185,2.637257
186,3.021823
187,3.6985598
188,2.6580749
189,3.480141
190,8.129879
191,5.802877
192,7.3437586
193,3.630378
194,1.7928004
195,9.436466
196,11.685539
197,6.054046
198,6.2772408
199,10.739103
200,11.041451
201,12.337738
202,10.899304
203,18.950262
204,8.932906
205,4.63083
206,4.850246
207,9.88524
208,8.600927
209,11.105897
210,6.1872964
211,4.4617786
212,4.732174
213,5.3559265
214,5.1208196
215,6.4100056
216,3.8592877
217,6.701794
218,5.543427
219,6.3139973
220,6.619886
221,3.8371804
222,5.0284123
223,5.5226035
224,5.4826665
225,5.0129185
226,6.6284556
227,5.159094
228,11.370135
229,5.587998
230,4.2814236
231,3.5694668
232,4.652184
233,3.741668
234,4.364749
235,5.194004
236,7.597701
237,10.868533
238,7.7787933
239,13.029276
240,19.236937
241,12.526637
242,12.98719
243,7.845374
244,4.3052726
245,7.668947
246,6.0173545
247,11.16758
248,6.107913
249,8.372233
250,13.048697
251,4.7667413
252,5.1479645
253,6.0936193
254,9.060789
255,14.398548
256,3.5959322
257,7.3093567
258,5.1993275
259,6.7881823
260,6.4386716
261,8.4731455
262,12.0665
263,7.017999
264,5.251787
265,2.4629245
266,2.851225
267,8.856883
268,10.472504
269,6.245531
270,2.0113106
271,2.9975133
272,7.4299884
273,6.815249
274,6.3806777
275,4.197788
276,11.943717
277,5.949956
278,7.1826587
279,11.776295
280,17.778543
281,9.498826
282,9.707464
283,10.233933
284,10.777462
285,6.90586
286,7.4915543
287,4.3523297
288,10.234208
289,17.438345
290,8.803155
291,5.365127
292,3.6157963
293,3.628169
294,3.0796018
295,2.7118187
296,2.7123218
297,3.7245855
298,6.1408095
299,7.562356
300,7.5509667
301,13.846219
302,10.431137
303,10.334675
304,11.894399
305,11.785814
306,10.103854
307,12.461394
308,5.74216
309,5.516115
310,2.2330198
311,3.3413205
312,3.3312435
313,10.328658
314,5.7133145
315,6.031302
316,5.2177057
317,7.514121
318,5.6314797
319,16.539274
320,3.929243
321,3.5816152
322,3.0926223
323,1.8112097
324,2.8831615
325,2.5999193
326,3.5883648
327,3.299652
328,11.622521
329,8.390823
330,9.105994
331,1.772749
332,3.2467718
333,5.2767463
334,5.50966
335,3.6470547
336,4.6709104
337,7.9895954
338,7.3487334
339,11.514267
340,8.873149
341,7.001511
342,7.3557897
343,16.191568
344,16.682322
345,10.452145
346,11.302966
347,3.4420967
348,3.075633
349,7.887984
350,3.8649042
351,6.7494245
352,3.6390078
353,9.952464
354,3.7840044
355,8.09561
356,4.737369
357,5.020487
358,4.5172887
359,4.0158925
360,8.208341
361,7.8562036
362,6.9441504
363,5.00939
364,12.067881
365,5.731434
366,3.856942
367,7.8777957
368,7.245804
369,8.202771
370,8.011225
371,7.788556
372,9.916991
373,10.337371
374,3.2446709
375,5.4157615
376,5.269966
377,5.205553
378,10.456873
379,11.740686
380,17.727266
381,9.239098
382,3.7089324
383,4.151081
384,7.669027
385,7.5097456
386,4.228818
387,5.970396
388,4.08394
389,8.281636
390,9.423924
391,3.6212966
392,11.797631
393,10.622417
394,12.093807
395,17.640715
396,10.517396
397,3.218399
398,3.6989331
399,5.030365
400,7.6299024
401,7.7382483
402,5.7096267
403,7.4169626
404,4.913547
405,6.8912024
406,9.532699
407,16.206858
408,11.25629
409,5.572675
410,13.187052
411,5.721152
412,9.451276
413,13.401687
414,7.1475024
415,8.110728
416,2.7875266
417,3.5081081
418,4.2641363
419,8.999494
420,5.743403
421,5.5643063
422,19.647875
423,14.295952
424,10.830731
425,15.864898
426,5.3033776
427,6.1630125
428,10.577328
429,5.5822663
430,9.951626
431,9.906498
432,4.7565513
433,4.4263263
434,4.2950716
435,3.5696993
436,5.3014784
437,7.660588
438,12.197005
439,7.5177255
440,7.623881
441,11.838938
442,6.5662584
443,19.305857
444,13.681895
445,4.5475397
446,5.568275
447,7.0430846
448,4.3458295
449,13.282797
450,4.965993
451,5.058787
452,6.1142716
453,4.1117115
454,5.933514
455,11.001663
456,12.206169
457,10.617599
458,8.752529
459,3.3412647
460,3.3855352
461,5.3498363
462,4.6904707
463,4.8911657
464,10.317561
465,12.053889
466,6.055825
467,3.7883153
468,3.500499
469,4.060155
470,10.433404
471,9.52674
472,7.777093
473,10.221929
474,10.67485
475,9.083389
476,8.575956
477,11.08662
478,10.952658
479,7.9374075
480,2.6954165
481,7.467951
482,6.191061
483,3.145412
484,2.0800624
485,2.6904583
486,3.279684
487,2.3584485
488,3.258308
489,16.491684
490,3.7942593
491,2.1749105
492,1.5660925
493,2.7887487
494,2.122715
495,4.0767274
496,3.4580994
497,7.1920156
498,4.168108
499,6.0008907
500,10.269314
501,7.228014
502,6.807677
503,6.446827
504,3.1858697
505,3.8908317
506,2.9508367
507,2.805028
508,5.393757
509,12.07355
510,10.471364
511,11.004273
512,5.697417
513,4.128834
514,5.19554
515,4.5123186
516,10.707206
517,2.379324
518,4.70847
519,10.704793
520,4.130744
521,4.6901946
522,2.6333694
523,7.8867846
524,7.538045
525,2.4611268
526,3.310707
527,2.2010107
528,5.1227584
529,3.7710662
530,11.087886
531,9.5623455
532,6.1649895
533,3.9941046
534,10.024543
535,4.141077
536,7.330948
537,7.883108
538,7.193567
539,7.398673
540,5.7046494
541,5.711567
542,4.723981
543,1.608098
544,6.7922063
545,7.228703
546,6.2224064
547,5.168293
548,6.2392554
549,11.215315
550,7.353561
551,4.4827085
552,3.2356725
553,7.6567564
554,8.668814
555,7.7501707
556,13.949823
557,7.47217
558,6.945287
559,9.760215
560,5.572532
561,10.301011
562,5.8189716
563,7.655205
564,3.4228516
565,6.785513
566,5.66328
567,2.9084773
568,5.0155115
569,7.3116336
570,17.844635
571,8.914268
572,3.6154685
573,3.129199
574,3.7729464
575,4.3871984
576,4.156415
577,7.455861
578,6.59017
579,15.802685
580,8.060658
581,7.809184
582,8.207578
583,11.213332
584,11.92965
585,3.7328224
586,5.3621087
587,8.332958
588,8.106702
589,7.2797575
590,7.7255263
591,4.3000894
592,2.5239305
593,3.350224
594,2.5832067
595,4.0955405
596,2.8019876
597,10.787207
598,4.7593718
599,4.5066724
600,5.0400176
601,4.3477736
602,6.5488067
603,18.867964
604,10.346613
605,6.9504886
606,5.499605
607,6.372243
608,6.4825864
609,3.8018122
610,4.1643524
611,6.371386
612,13.281807
613,10.389562
614,10.9148245
615,9.815666
616,12.372918
617,10.076707
618,10.958923
619,11.929457
620,10.674953
621,10.687349
622,11.805634
623,11.918453
624,6.7168984
625,5.3454404
626,2.3200016
627,4.9913054
628,3.777788
629,4.0132604
630,4.3037796
631,14.304211
632,10.690095
633,8.918711
634,11.517732
635,7.4566617
636,7.956548
637,18.171995
638,18.197388
639,11.744573
640,5.5661306
641,12.078829
642,6.794385
643,6.105787
644,3.3403416
645,5.445351
646,3.7540905
647,4.3079357
648,8.670264
649,10.695054
650,9.524279
651,11.432627
652,4.765871
653,4.056238
