ID,RT
1,5.9091635
2,6.9016933
3,4.2355022
4,9.126144
5,7.0706663
6,5.3917294
7,4.8708744
8,5.146017
9,4.203903
10,3.6194863
11,5.36747
12,4.7092533
13,2.8725836
14,3.7480242
15,7.0736485
16,3.7328203
17,5.471346
18,6.044456
19,7.387375
20,5.600651
21,4.4502916
22,4.898036
23,4.444169
24,4.514414
25,9.471519
26,6.660671
27,6.4798965
28,5.715686
29,7.172619
30,4.130061
31,5.810212
32,5.8697033
33,6.81256
34,4.4840007
35,6.0401816
36,4.0367203
37,6.057192
38,7.844389
39,4.76381
40,7.4183617
41,6.0036306
42,4.278178
43,6.766037
44,4.5833006
45,4.927314
46,4.0910544
47,5.4211874
48,3.302231
49,4.4349403
50,6.3563843
51,7.2447815
52,4.908394
53,3.7180493
54,4.595221
55,10.097808
56,5.718182
57,6.4638376
58,5.6911364
59,3.5087016
60,7.160616
61,7.2209473
62,3.2037144
63,4.013341
64,5.802226
65,8.134547
66,6.9302187
67,7.0405064
68,7.128829
69,4.253201
70,5.432782
71,3.0907602
72,3.6716194
73,6.0335717
74,5.9552193
75,2.57122
76,6.176985
77,7.4009113
78,5.811739
79,6.9051743
80,7.4936333
81,3.9553394
82,6.4601297
83,4.9460135
84,6.4366026
85,4.2952175
86,5.417779
87,4.5584497
88,3.7621975
89,4.3213787
90,4.007826
91,4.7522674
92,6.937891
93,5.267316
94,3.660782
95,4.4898157
96,4.304737
97,2.57122
98,6.5675125
99,5.166228
100,7.5236864
101,4.6622324
102,7.7112417
103,6.5389786
104,4.2218223
105,5.764929
106,4.5216923
107,6.313921
108,7.027399
109,4.93054
110,4.865372
111,5.3409414
112,6.650523
113,4.4942093
114,4.3345823
115,6.1269503
116,5.3810453
117,7.2069387
118,5.8897166
119,5.581023
120,6.18032
121,5.367714
122,2.635652
123,5.9266443
124,3.529021
125,8.238243
126,5.1250963
127,3.01042
128,9.880175
129,5.577298
130,7.457245
131,4.7746553
132,5.9661846
133,5.2496243
134,3.8182793
135,4.430393
136,5.2237477
137,6.964672
138,6.2862816
139,5.410027
140,6.970522
141,2.780748
142,6.9780807
143,5.0690527
144,5.3275375
145,4.8553724
146,5.79257
147,5.1805058
148,5.3367767
149,8.226118
150,4.5151634
151,4.500868
152,3.1930819
153,3.2252686
154,7.008692
155,2.57122
156,4.8387556
157,6.7202015
158,4.333251
159,5.5330887
160,5.0550613
161,7.118784
162,4.0349855
163,5.232254
164,9.384181
165,3.026154
166,8.93829
167,4.1109653
168,5.063841
169,4.316678
170,4.259801
171,4.37261
172,4.612813
173,4.5097113
174,4.733824
175,7.0754566
176,4.7882023
177,6.1858177
178,5.3782988
179,6.6865263
180,4.2458572
181,5.672078
182,3.624592
183,6.3810205
184,3.4248002
185,3.1199446
186,5.3570614
187,4.578492
188,5.430829
189,4.3757734
190,5.280985
191,6.8113527
192,4.9395046
193,6.730359
194,5.424118
195,3.4858704
196,8.98437
197,7.2952356
198,4.6197414
199,4.110835
200,3.4431403
201,6.08875
202,8.878894
203,5.383375
204,5.0283127
205,6.4594374
206,5.038389
207,4.22631
208,6.4219656
209,6.358721
210,4.7535553
211,3.539413
212,5.0350204
